grade_code,grade_name,definition,legal_basis,written_subjects,sport_events_summary,exam_agency,training_agency,pass_criteria
PSC1,1급 전문스포츠지도사,"""스포츠지도사""란 학교ㆍ직장ㆍ지역사회 또는 체육단체 등에서 체육을 지도할 수 있도록 국민체육진흥법에 따라 해당 자격을 취득한 사람을 말한다.",국민체육진흥법 제11조(체육지도자의 양성)부터 제12조(체육지도자의 자격취소)까지 / 국민체육진흥법 시행령 제8조(체육지도자의 양성과 자질향상)부터 11조의 3(연수계획)까지 / 국민체육진흥법 시행규칙 제4조(자격검정의 공고 등)부터 제23조(체육지도자의 자격취소)까지,"스포츠영양학, 운동상해, 체육측정평가론, 트레이닝론","동계(설상): 루지, 바이애슬론, 봅슬레이스켈레톤, 스키 / 하계·동계(빙상): 가라테, 검도, 골프, 궁도, 근대5종, 농구, 당구, 댄스스포츠, 럭비, 레슬링, 배구, 배드민턴, 보디빌딩, 복싱, 볼링, 빙상, 사격, 사이클, 산악, 세팍타크로, 소프트볼, 소프트테니스, 수상스키, 수영, 수중, 스쿼시, 승마, 씨름, 아이스하키, 야구, 양궁, 에어로빅, 역도, 요트, 우슈, 유도, 육상, 인라인스케이트, 조정, 주짓수, 체조, 축구, 카누, 컬링, 탁구, 태권도, 택견, 테니스, 트라이애슬론, 펜싱, 하키, 핸드볼, 힙합",국민체육진흥공단,국민체육진흥공단,"필기시험 : 과목마다 만점의 40% 이상 득점하고 전 과목 총점 60% 이상 득점; 실기ㆍ구술시험 : 실기시험과 구술시험 각각 만점의 70% 이상 득점; 연수 : 연수과정의 100분의 90 이상을 참여하고, 연수태도∙체육 지도∙현장실습에 대한 평가점수 각각 만점의 100분의 60 이상"
PSC2,2급 전문스포츠지도사,"""스포츠지도사""란 학교ㆍ직장ㆍ지역사회 또는 체육단체 등에서 체육을 지도할 수 있도록 국민체육진흥법에 따라 해당 자격을 취득한 사람을 말한다.",국민체육진흥법 제11조(체육지도자의 양성)부터 제12조(체육지도자의 자격취소)까지 / 국민체육진흥법 시행령 제8조(체육지도자의 양성과 자질향상)부터 11조의 3(연수계획)까지 / 국민체육진흥법 시행규칙 제4조(자격검정의 공고 등)부터 제23조(체육지도자의 자격취소)까지,"스포츠교육학, 스포츠사회학, 스포츠심리학, 스포츠윤리, 운동생리학, 운동역학, 한국체육사","동계(설상): 루지, 바이애슬론, 봅슬레이스켈레톤, 스키 / 하계·동계(빙상): 가라테, 검도, 골프, 궁도, 근대5종, 농구, 당구, 댄스스포츠, 럭비, 레슬링, 배구, 배드민턴, 보디빌딩, 복싱, 볼링, 빙상, 사격, 사이클, 산악, 세팍타크로, 소프트볼, 소프트테니스, 수상스키, 수영, 수중, 스쿼시, 승마, 씨름, 아이스하키, 야구, 양궁, 에어로빅, 역도, 요트, 우슈, 유도, 육상, 인라인스케이트, 조정, 주짓수, 체조, 축구, 카누, 컬링, 탁구, 태권도, 택견, 테니스, 트라이애슬론, 펜싱, 하키, 핸드볼, 힙합","대한체육회(태권도를 제외한 전종목), 국기원(태권도 단일종목)",수도권,"필기시험 : 과목마다 만점의 40% 이상 득점하고 전 과목 총점 60% 이상 득점; 실기·구술시험 : 실기시험과 구술시험 각각 만점의 70% 이상 득점; 연수 : 연수과정의 100분의 90 이상을 참여하고, 연수태도∙체육 지도∙현장실습에 대한 평가점수 각각 만점의 100분의 60 이상"
LSC1,1급 생활스포츠지도사,"""스포츠지도사""란 학교ㆍ직장ㆍ지역사회 또는 체육단체 등에서 체육을 지도할 수 있도록 국민체육진흥법에 따라 해당 자격을 취득한 사람을 말한다.",국민체육진흥법 제11조(체육지도자의 양성)부터 제12조(체육지도자의 자격취소)까지 / 국민체육진흥법 시행령 제8조(체육지도자의 양성과 자질향상)부터 11조의 3(연수계획)까지 / 국민체육진흥법 시행규칙 제4조(자격검정의 공고 등)부터 제23조(체육지도자의 자격취소)까지,"건강교육론, 운동상해, 체육측정평가론, 트레이닝론","동계(설상): 스키 / 하계·동계(빙상): 검도, 게이트볼, 골프, 국학기공, 궁도, 농구, 당구, 댄스스포츠, 등산, 라켓볼, 럭비, 레슬링, 레크리에이션, 배구, 배드민턴, 보디빌딩, 복싱, 볼링, 빙상, 사격, 세팍타크로, 소프트볼, 소프트테니스, 수상스키, 수영, 스쿼시, 스킨스쿠버, 승마, 씨름, 아이스하키, 야구, 양궁, 에어로빅, 오리엔티어링, 요트, 우슈, 윈드서핑, 유도, 육상, 인라인스케이트, 자전거, 조정, 족구, 주짓수, 줄넘기, 철인3종경기, 체조, 축구, 치어리딩, 카누, 킥복싱, 탁구, 태권도, 택견, 테니스, 파크골프, 패러글라이딩, 펜싱, 풋살, 플로어볼, 하키, 합기도, 핸드볼, 행글라이딩, 힙합","대한체육회(태권도를 제외한 전종목),국기원(태권도 단일종목)",수도권,"필기시험 : 과목마다 만점의 40% 이상 득점하고 전 과목 총점 60% 이상 득점; 실기·구술시험 : 실기시험과 구술시험 각각 만점의 70% 이상 득점; 연수 : 연수과정의 100분의 90 이상을 참여하고, 연수태도∙체육 지도∙현장실습에 대한 평가점수 각각 만점의 100분의 60 이상"
LSC2,2급 생활스포츠지도사,"""스포츠지도사""란 학교ㆍ직장ㆍ지역사회 또는 체육단체 등에서 체육을 지도할 수 있도록 국민체육진흥법에 따라 해당 자격을 취득한 사람을 말한다.",국민체육진흥법 제11조(체육지도자의 양성)부터 제12조(체육지도자의 자격취소)까지 / 국민체육진흥법 시행령 제8조(체육지도자의 양성과 자질향상)부터 11조의 3(연수계획)까지 / 국민체육진흥법 시행규칙 제4조(자격검정의 공고 등)부터 제23조(체육지도자의 자격취소)까지,"스포츠교육학, 스포츠사회학, 스포츠심리학, 스포츠윤리, 운동생리학, 운동역학, 한국체육사","동계(설상): 스키 / 하계·동계(빙상): 검도, 게이트볼, 골프, 국학기공, 궁도, 농구, 당구, 댄스스포츠, 등산, 라켓볼, 럭비, 레슬링, 레크리에이션, 배구, 배드민턴, 보디빌딩, 복싱, 볼링, 빙상, 사격, 세팍타크로, 소프트볼, 소프트테니스, 수상스키, 수영, 스쿼시, 스킨스쿠버, 승마, 씨름, 아이스하키, 야구, 양궁, 에어로빅, 오리엔티어링, 요트, 우슈, 윈드서핑, 유도, 육상, 인라인스케이트, 자전거, 조정, 족구, 주짓수, 줄넘기, 철인3종경기, 체조, 축구, 치어리딩, 카누, 킥복싱, 탁구, 태권도, 택견, 테니스, 파크골프, 패러글라이딩, 펜싱, 풋살, 플로어볼, 하키, 합기도, 핸드볼, 행글라이딩, 힙합","대한체육회(태권도를 제외한 전종목),국기원(태권도 단일종목)",수도권(10),"필기시험 : 과목마다 만점의 40% 이상 득점하고 전 과목 총점 60% 이상 득점; 실기·구술시험 : 실기시험과 구술시험 각각 만점의 70% 이상 득점; 연수 : 연수과정의 100분의 90 이상을 참여하고, 연수태도∙체육 지도∙현장실습에 대한 평가점수 각각 만점의 100분의 60 이상"
HEXM,건강운동관리사,"""건강운동관리사""란 개인의 체력적 특성에 적합한 운동형태, 강도, 빈도 및 시간 등 운동수행 방법에 대하여 지도ㆍ관리하는 사람",국민체육진흥법 제11조(체육지도자의 양성)부터 제12조(체육지도자의 자격취소)까지 / 국민체육진흥법 시행령 제8조(체육지도자의 양성과 자질향상)부터 11조의 3(연수계획)까지 / 국민체육진흥법 시행규칙 제4조(자격검정의 공고 등)부터 제23조(체육지도자의 자격취소)까지,"건강ㆍ체력평가, 기능해부학 (운동역학 포함), 병태생리학, 스포츠심리학, 운동부하검사, 운동상해, 운동생리학, 운동처방론",,국민체육진흥공단,수도권,"필기시험 : 과목마다 만점의 40% 이상 득점하고 전 과목 총점 60% 이상 득점; 실기·구술시험 : 실기시험과 구술시험 각각 만점의 70% 이상 득점; 연수 : 연수과정의 100분의 90 이상을 참여하고, 연수태도∙체육 지도∙현장실습에 대한 평가점수 각각 만점의 100분의 60 이상"
YUSC,유소년스포츠지도사,"""유소년스포츠지도사""란 유소년(만3세부터 중학교 취학 전까지를 말함)의 행동양식, 신체발달 등에 대한 지식을 갖추고 해당 자격종목에 대하여 유소년을 대상으로 체육을 지도하는 사람을 말함",국민체육진흥법 제11조(체육지도자의 양성)부터 제12조(체육지도자의 자격취소)까지 / 국민체육진흥법 시행령 제8조(체육지도자의 양성과 자질향상)부터 11조의 3(연수계획)까지 / 국민체육진흥법 시행규칙 제4조(자격검정의 공고 등)부터 제23조(체육지도자의 자격취소)까지,"유아체육론, 스포츠교육학, 스포츠사회학, 스포츠심리학, 스포츠윤리, 운동생리학, 운동역학, 한국체육사","동계(설상): 스키 / 하계·동계(빙상): 검도, 게이트볼, 골프, 국학기공, 궁도, 농구, 당구, 댄스스포츠, 등산, 라켓볼, 럭비, 레슬링, 레크리에이션, 배구, 배드민턴, 보디빌딩, 복싱, 볼링, 빙상, 사격, 세팍타크로, 소프트테니스, 수상스키, 수영, 스쿼시, 스킨스쿠버, 승마, 씨름, 아이스하키, 야구, 양궁, 에어로빅, 오리엔티어링, 요트, 우슈, 윈드서핑, 유도, 육상, 인라인스케이트, 자전거, 조정, 족구, 줄넘기, 철인3종경기, 체조, 축구, 카누, 탁구, 태권도, 택견, 테니스, 파크골프, 패러글라이딩, 펜싱, 풋살, 플라잉디스크, 플로어볼, 피구, 하키, 합기도, 핸드볼, 행글라이딩","대한체육회(태권도를 제외한 전종목),국기원(태권도 단일종목)",수도권(2),"필기시험 : 과목마다 만점의 40% 이상 득점하고 전 과목 총점 60% 이상 득점; 실기·구술시험 : 실기시험과 구술시험 각각 만점의 70% 이상 득점; 연수 : 연수과정의 100분의 90 이상을 참여하고, 연수태도∙체육 지도∙현장실습에 대한 평가점수 각각 만점의 100분의 60 이상"
OLSC,노인스포츠지도사,노인스포츠지도사란 노인의 신체적ㆍ정신적 변화 등에 대한 지식을 갖추고 해당 자격종목에 대하여 노인을 대상으로 생활체육을 지도하는 사람을 말함,국민체육진흥법 제11조(체육지도자의 양성)부터 제12조(체육지도자의 자격취소)까지 / 국민체육진흥법 시행령 제8조(체육지도자의 양성과 자질향상)부터 11조의 3(연수계획)까지 / 국민체육진흥법 시행규칙 제4조(자격검정의 공고 등)부터 제23조(체육지도자의 자격취소)까지,"노인체육론, 스포츠교육학, 스포츠사회학, 스포츠심리학, 스포츠윤리, 운동생리학, 운동역학, 한국체육사","동계(설상): 스키 / 하계·동계(빙상): 검도, 게이트볼, 골프, 국학기공, 궁도, 그라운드골프, 농구, 당구, 댄스스포츠, 등산, 라켓볼, 럭비, 레슬링, 레크리에이션, 배구, 배드민턴, 보디빌딩, 복싱, 볼링, 빙상, 사격, 세팍타크로, 소프트테니스, 수상스키, 수영, 스쿼시, 스킨스쿠버, 승마, 씨름, 아이스하키, 야구, 양궁, 에어로빅, 오리엔티어링, 요트, 우슈, 윈드서핑, 유도, 육상, 인라인스케이트, 자전거, 조정, 족구, 철인3종경기, 체조, 축구, 카누, 탁구, 태권도, 택견, 테니스, 파크골프, 패러글라이딩, 펜싱, 풋살, 하키, 합기도, 핸드볼, 행글라이딩","대한체육회(태권도를 제외한 전종목),국기원(태권도 단일종목)",수도권(3),"필기시험 : 과목마다 만점의 40% 이상 득점하고 전 과목 총점 60% 이상 득점; 실기·구술시험 : 실기시험과 구술시험 각각 만점의 70% 이상 득점; 연수 : 연수과정의 100분의 90 이상을 참여하고, 연수태도∙체육 지도∙현장실습에 대한 평가점수 각각 만점의 100분의 60 이상"
DSC1,1급 장애인스포츠지도사,"""장애인스포츠지도사""란 장애유형에 따른 운동방법 등에 대한 지식을 갖추고 해당 자격종목에 대하여 장애인을 대상으로 전문체육이나 생활체육을 지도하는 사람을 말함",국민체육진흥법 제11조(체육지도자의 양성)부터 제12조(체육지도자의 자격취소)까지 / 국민체육진흥법 시행령 제8조(체육지도자의 양성과 자질향상)부터 11조의 3(연수계획)까지 / 국민체육진흥법 시행규칙 제4조(자격검정의 공고 등)부터 제23조(체육지도자의 자격취소)까지,"운동상해, 장애인스포츠론, 체육측정평가론, 트레이닝론","동계(설상): 스노보드, 알파인스키, 바이애슬론·크로스컨트리 / 하계·동계(빙상): 골볼, 농구, 당구, 댄스스포츠, 럭비, 론볼, 배구, 배드민턴, 보치아, 볼링, 사격, 사이클, 쇼다운, 수영, 승마, 아이스하키, 양궁, 역도, 요트, 유도, 육상, 조정, 축구, 카누, 컬링, 탁구, 태권도, 테니스, 트라이애슬론, 파크골프, 펜싱","대한장애인체육회(태권도를 제외한 전종목),국기원(태권도 단일종목)",국민체육진흥공단,"필기시험 : 과목마다 만점의 40% 이상 득점하고 전 과목 총점 60% 이상 득점; 실기·구술시험 : 실기시험과 구술시험 각각 만점의 70% 이상 득점; 연수 : 연수과정의 100분의 90 이상을 참여하고, 연수태도∙체육 지도∙현장실습에 대한 평가점수 각각 만점의 100분의 60 이상"
DSC2,2급 장애인스포츠지도사,장애인스포츠지도사란 장애유형에 따른 운동방법 등에 대한 지식을 갖추고 해당 자격종목에 대하여 장애인을 대상으로 전문체육이나 생활체육을 지도하는 사람을 말함,국민체육진흥법 제11조(체육지도자의 양성)부터 제12조(체육지도자의 자격취소)까지 / 국민체육진흥법 시행령 제8조(체육지도자의 양성과 자질향상)부터 11조의 3(연수계획)까지 / 국민체육진흥법 시행규칙 제4조(자격검정의 공고 등)부터 제23조(체육지도자의 자격취소)까지,"특수체육론, 스포츠교육학, 스포츠사회학, 스포츠심리학, 스포츠윤리, 운동생리학, 운동역학, 한국체육사","동계(설상): 스노보드, 알파인스키, 바이애슬론·크로스컨트리 / 하계·동계(빙상): 골볼, 농구, 당구, 댄스스포츠, 럭비, 론볼, 배구, 배드민턴, 보치아, 볼링, 사격, 사이클, 쇼다운, 수영, 승마, 아이스하키, 양궁, 역도, 요트, 유도, 육상, 조정, 축구, 카누, 컬링, 탁구, 태권도, 테니스, 트라이애슬론, 파크골프, 펜싱","대한장애인체육회(태권도를 제외한 전종목),국기원(태권도 단일종목)",수도권,"필기시험 : 과목마다 만점의 40% 이상 득점하고 전 과목 총점 60% 이상 득점; 실기ㆍ구술시험 : 실기시험과 구술시험 각각 만점의 70% 이상 득점; 연수 : 연수과정의 100분의 90 이상을 참여하고, 연수태도∙체육 지도∙현장실습에 대한 평가점수 각각 만점의 100분의 60 이상"
